,TUMOR_CLASS,TUMOR_TYPE,channel,Min,Max,stddev
0,B,A,R,89,234,25.67554005851181
0,B,A,G,86,243,40.01745786532808
0,B,A,B,96,246,22.027745967921668
0,B,A,R,85,229,19.77406638602045
0,B,A,G,84,241,29.159027760629847
0,B,A,B,102,243,17.665252328312775
0,B,A,R,95,246,23.012149201736502
0,B,A,G,87,239,31.93419518848311
0,B,A,B,104,247,19.44317785788968
0,B,A,R,89,233,18.124174412493264
0,B,A,G,80,237,32.585408709973585
0,B,A,B,95,240,17.38710283083518
0,B,A,R,101,240,14.508194201660537
0,B,A,G,81,232,32.10985439549294
0,B,A,B,108,244,16.160749315462294
0,B,A,R,91,242,21.146251584662764
0,B,A,G,84,230,30.360318238287796
0,B,A,B,100,249,19.237502332457865
0,B,A,R,85,240,23.978315834021632
0,B,A,G,79,247,34.555727488339215
0,B,A,B,81,247,21.011611929426877
0,B,A,R,105,235,13.551292078107881
0,B,A,G,92,234,27.770746281647217
0,B,A,B,116,240,14.234721335256994
0,B,A,R,85,239,25.864544285734897
0,B,A,G,80,238,35.98027968393488
0,B,A,B,96,252,22.186241342033718
0,B,A,R,86,244,23.858154536164793
0,B,A,G,79,238,34.98391924211272
0,B,A,B,95,255,20.727452626190274
0,B,A,R,87,234,27.25432096652635
0,B,A,G,81,234,36.997171369231594
0,B,A,B,90,239,22.94324848064195
0,B,A,R,82,238,24.819183065336908
0,B,A,G,82,239,35.6914232763899
0,B,A,B,92,251,21.457588877375173
0,B,A,R,95,243,20.146163514170965
0,B,A,G,81,230,33.20558000241502
0,B,A,B,100,246,17.493534981865693
0,B,A,R,91,247,21.949313526745232
0,B,A,G,86,246,34.267619346683524
0,B,A,B,95,240,17.613667444072274
0,B,A,R,96,238,24.80306976509915
0,B,A,G,80,244,36.12360201672403
0,B,A,B,93,245,20.338007851153026
0,B,A,R,90,238,25.415393330946824
0,B,A,G,86,239,34.71655482488137
0,B,A,B,96,250,20.67032622525883
0,B,A,R,82,244,22.3200358414346
0,B,A,G,85,243,33.30039313774332
0,B,A,B,95,244,18.43912892819009
0,B,A,R,101,246,13.500950599791913
0,B,A,G,86,232,31.95882499180041
0,B,A,B,108,243,14.977579529432411
0,B,A,R,93,242,13.331453273084215
0,B,A,G,76,238,26.89151747128263
0,B,A,B,106,244,15.325414146470829
0,B,A,R,80,242,18.70353211897538
0,B,A,G,71,240,37.83119169340474
0,B,A,B,98,239,21.26345637326116
0,B,A,R,96,245,14.36291532983841
0,B,A,G,78,238,30.07335888036194
0,B,A,B,106,242,16.765363637366338
0,B,A,R,93,238,20.401081917822008
0,B,A,G,85,245,29.715784415156193
